# PowerScope Version: V1.0
# Sample Rate (Hz): 6570.2604856450735
# Recording Started: 2025-10-05 22:11:37
# Number of Channels: 6
# Channel Information:
# CH1: Stream=Serial, Index=0
# CH2: Stream=Serial, Index=1
# CH3: Stream=Serial, Index=2
# CH4: Stream=Serial, Index=3
# CH5: Stream=Serial, Index=4
# CH6: Stream=Serial, Index=5
#
Sample,Time_s,CH1,CH2,CH3,CH4,CH5,CH6
0,0.000000,157.000000,28.000000,138.000000,1568.000000,1715.000000,2126.000000
1,0.000152,110.000000,35.000000,219.000000,1760.000000,1868.000000,2174.000000
2,0.000304,136.000000,0.000000,93.000000,1759.000000,1863.000000,2156.000000
3,0.000457,105.000000,49.000000,43.000000,1455.000000,1625.000000,2051.000000
4,0.000609,40.000000,198.000000,224.000000,1671.000000,1791.000000,2094.000000
5,0.000762,162.000000,41.000000,47.000000,1452.000000,1627.000000,2058.000000
6,0.000914,50.000000,198.000000,57.000000,1470.000000,1644.000000,1986.000000
7,0.001066,174.000000,79.000000,134.000000,1746.000000,1804.000000,2017.000000
8,0.001219,118.000000,17.000000,68.000000,1481.000000,1611.000000,1873.000000
9,0.001371,58.000000,189.000000,0.000000,1632.000000,1678.000000,1761.000000
10,0.001523,139.000000,0.000000,159.000000,1669.000000,1698.000000,1668.000000
11,0.001676,121.000000,11.000000,117.000000,1488.000000,1517.000000,1480.000000
12,0.001828,67.000000,171.000000,194.000000,1548.000000,1567.000000,1494.000000
13,0.001980,85.000000,117.000000,174.000000,1635.000000,1577.000000,1434.000000
14,0.002133,52.000000,197.000000,123.000000,1427.000000,1428.000000,1375.000000
15,0.002285,0.000000,100.000000,201.000000,1568.000000,1527.000000,1419.000000
16,0.002437,10.000000,134.000000,176.000000,1633.000000,1593.000000,1437.000000
17,0.002590,133.000000,0.000000,0.000000,1411.000000,1450.000000,1424.000000
18,0.002742,99.000000,69.000000,199.000000,1676.000000,1644.000000,1481.000000
19,0.002894,112.000000,30.000000,176.000000,1543.000000,1549.000000,1413.000000
20,0.003047,91.000000,96.000000,22.000000,1428.000000,1481.000000,1411.000000
21,0.003199,18.000000,158.000000,197.000000,1635.000000,1664.000000,1422.000000
22,0.003351,8.000000,127.000000,50.000000,1548.000000,1602.000000,1438.000000
23,0.003503,40.000000,198.000000,39.000000,1481.000000,1555.000000,1492.000000
24,0.003656,17.000000,155.000000,245.000000,1727.000000,1768.000000,1567.000000
25,0.003811,8.000000,127.000000,98.000000,1700.000000,1744.000000,1527.000000
26,0.003964,163.000000,44.000000,52.000000,1466.000000,1546.000000,1553.000000
27,0.004116,113.000000,28.000000,131.000000,1712.000000,1761.000000,1602.000000
28,0.004268,51.000000,197.000000,62.000000,1453.000000,1535.000000,1557.000000
29,0.004421,112.000000,30.000000,69.000000,1436.000000,1527.000000,1651.000000
30,0.004573,57.000000,191.000000,145.000000,1693.000000,1760.000000,1729.000000
31,0.004726,38.000000,197.000000,102.000000,1489.000000,1583.000000,1663.000000
32,0.004878,23.000000,171.000000,203.000000,1473.000000,1563.000000,1719.000000
33,0.005031,44.000000,199.000000,184.000000,1599.000000,1679.000000,1759.000000
